player,salary,team,position,opp,fpts
Yonder Alonso,2700,OAK,1B,LAA,5.1
Pedro Alvarez,3500,BAL,1B,TOR,5.35
John Jaso,2700,PIT,1B,CHC,5.42
Billy Butler,2900,OAK,1B,LAA,5.42
James Loney,3100,NYM,1B,ATL,5.43
C.J. Cron,4000,LAA,1B,OAK,5.5
Mark Reynolds,3500,COL,1B,MIA,5.79
Joe Mauer,4000,MIN,1B,NYY,5.8
Prince Fielder,3300,TEX,1B,STL,6.12
Tommy Joseph,3400,PHI,1B,ARI,6.22
Logan Morrison,3900,TBR,1B,SFG,6.23
Kendrys Morales,2700,KCR,1B,DET,6.31
Chris Carter,3800,MIL,1B,LAD,6.43
Dae-Ho Lee,4300,SEA,1B,BOS,6.59
Justin Bour,2800,MIA,1B,COL,6.81
Ryan Zimmerman,4800,WAS,1B,SDP,6.89
Mike Napoli,4200,CLE,1B,CHW,6.94
Freddie Freeman,4200,ATL,1B,NYM,6.96
Brandon Belt,3800,SFG,1B,TBR,7.02
Hanley Ramirez,3900,BOS,1B,SEA,7.1
Jose Abreu,4300,CHW,1B,CLE,7.12
Carlos Santana,3900,CLE,1B,CHW,7.21
Justin Smoak,4200,TOR,1B,BAL,7.24
Victor Martinez,3800,DET,1B,KCR,7.24
Joey Votto,4100,CIN,1B,HOU,7.32
Wil Myers,4800,SDP,1B,WAS,7.45
Anthony Rizzo,5100,CHC,1B,PIT,7.56
Eric Hosmer,4000,KCR,1B,DET,7.59
Adrian Gonzalez,3000,LAD,1B,MIL,7.73
Chris Davis,4700,BAL,1B,TOR,8.1
Albert Pujols,3600,LAA,1B,OAK,8.25
Miguel Cabrera,4400,DET,1B,KCR,8.57
David Ortiz,5500,BOS,1B,SEA,10.14
Edwin Encarnacion,5400,TOR,1B,BAL,10.45
Paul Goldschmidt,5300,ARI,1B,PHI,10.54
Steve Pearce,4100,TBR,1B/2B,SFG,6.56
Max Muncy,2000,OAK,1B/3B,LAA,4.84
David Freese,3300,PIT,1B/3B,CHC,5.26
Marwin Gonzalez,3700,HOU,1B/3B,CIN,5.55
Travis Shaw,3500,BOS,1B/3B,SEA,7.21
Alex Rodriguez,4200,NYY,1B/3B,MIN,7.44
Robert Refsnyder,3000,NYY,1B/OF,MIN,4.9
Jose Peraza,3000,CIN,2B,HOU,4.51
Jedd Gyorko,3400,STL,2B,TEX,4.93
Josh Harrison,2700,PIT,2B,CHC,5.17
Scooter Gennett,2400,MIL,2B,LAD,5.18
Jimmy Paredes,2500,PHI,2B,ARI,5.23
Johnny Giavotella,3600,LAA,2B,OAK,5.44
Brett Lawrie,2900,CHW,2B,CLE,5.56
Jonathan Schoop,3500,BAL,2B,TOR,5.64
Cesar Hernandez,2900,PHI,2B,ARI,5.94
Starlin Castro,3600,NYY,2B,MIN,6.07
Derek Dietrich,2800,MIA,2B,COL,6.16
Jed Lowrie,2900,OAK,2B,LAA,6.29
DJ LeMahieu,4300,COL,2B,MIA,6.3
